rank,date,ticker,last_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_ann,max_drawdown,from_52w_high,momentum_score,quality_score,composite_score
56,2026-09-11,PM,191.05999755859375,0.026156050557655908,0.06568558937619051,0.13002157285459126,0.031709527458365194,0.3063453192743368,-0.11535615783212405,-0.04551131884740611,0.5969387755102041,0.7346938775510204,0.6520408163265307
57,2026-09-11,AFRM,71.44000244140625,-0.026702984246963712,0.0744473565449455,0.5403191202278554,0.38521397995442075,0.5670543053070355,-0.2073910138574283,-0.2249945519104648,0.8979591836734694,0.28061224489795916,0.6510204081632653
58,2026-09-11,EOG,147.36000061035156,0.029481635033514753,0.08733335847862711,0.12452097397775663,0.2143932548661025,0.30929486581033405,-0.13651895986853668,-0.03717740821920812,0.5867346938775511,0.7448979591836735,0.65
59,2026-09-11,NSC,320.2699890136719,-0.045138828547551246,0.03544747164252593,0.10872961556754812,0.0736378957503383,0.234459435188201,-0.09266819920271119,-0.09266819920271119,0.5459183673469388,0.8061224489795918,0.65
60,2026-09-11,CRM,247.72000122070312,0.28139867491960957,0.488254765770479,0.24940042997115186,0.09402518275432215,0.5600002288976328,-0.28193011538441326,-0.06479171589575117,0.8214285714285714,0.39285714285714285,0.6499999999999999
61,2026-09-11,AMZN,256.7799987792969,-0.03928464549519184,0.06322721468998549,0.22550470231124087,0.2991474054488561,0.3745037375668906,-0.17578820340584134,-0.09590870814752317,0.7091836734693877,0.5510204081632653,0.6459183673469386
62,2026-09-11,BMY,63.63999938964844,-0.0009419367750764795,0.13107884289206617,0.10300225303358213,0.10218450608212004,0.27681255580313086,-0.1162029527070354,-0.06535463632806604,0.5561224489795918,0.7704081632653061,0.6418367346938776
63,2026-09-11,NET,306.5299987792969,-0.015797120677150223,0.34774004347922927,0.44514637639550014,0.7466341807502255,0.7203515026322329,-0.2725963352524423,-0.07345158776186311,0.8775510204081632,0.27040816326530615,0.6346938775510205
64,2026-09-11,TEAM,179.6999969482422,0.15756242327726033,1.0145740257425362,1.4502318778464591,0.9084741105882346,0.954740523273526,-0.355929260278364,-0.07694676541562562,0.9795918367346939,0.11734693877551021,0.6346938775510204
65,2026-09-11,CB,338.25,-0.011820062027286249,0.03781412676719431,0.03572956072461042,0.05325604985218768,0.20706658057639152,-0.07389265478395735,-0.06665249719291155,0.42857142857142855,0.9387755102040817,0.6326530612244898
66,2026-09-11,MRVL,236.10000610351562,0.08761748715693995,-0.15871088368945052,1.6950664053995208,1.7335388758216363,0.9691606408961086,-0.48348670166302643,-0.2536793302014302,0.9897959183673469,0.08163265306122448,0.6265306122448979
67,2026-09-11,MU,975.260009765625,0.07019722951058482,-0.020544844633309522,1.4073512027106214,1.3160676180364375,0.9421867994979011,-0.3909541844002312,-0.19624082805203846,0.9744897959183674,0.09693877551020408,0.6234693877551021
68,2026-09-11,MCO,474.95001220703125,-0.003947559917725885,0.07725699707926093,0.11869397019228778,0.19021816125750535,0.26045052314829276,-0.09763082346505425,-0.11395159583268388,0.5816326530612245,0.6785714285714286,0.6204081632653061
69,2026-09-11,NVDA,218.2899932861328,-0.024792449282857842,0.06669722286781954,0.19465403111777535,0.1869234285419974,0.4007661007602238,-0.1930455272999796,-0.07190572811190499,0.6683673469387755,0.5459183673469388,0.6193877551020408
70,2026-09-11,INTC,102.94000244140625,0.019712784084425117,-0.1198700132764251,1.2749171810255526,1.1652515132790802,0.8640307526794702,-0.41904359418853865,-0.2696182726107015,0.9591836734693877,0.10204081632653061,0.6163265306122448
71,2026-09-11,DDOG,221.2100067138672,-0.08177326241658522,-0.05562670113443591,0.7396193798615189,0.9809942815193213,0.7605999093134395,-0.27388512871979,-0.2323095214316223,0.9132653061224489,0.15306122448979592,0.6091836734693876
72,2026-09-11,QCOM,181.97000122070312,0.12197440481124144,-0.09853976665383901,0.40019934101696797,0.18023676996376503,0.6518727370610248,-0.40978731642585986,-0.26844022803177214,0.8826530612244898,0.1836734693877551,0.6030612244897959
73,2026-09-11,HOOD,112.56999969482422,0.18607096566539472,0.22053556974484834,0.47884912812721714,0.27446455291572613,0.7352306019530798,-0.26363253669605624,-0.26164243252269725,0.9030612244897959,0.14795918367346939,0.6010204081632653
74,2026-09-11,PGR,217.6199951171875,0.04942855881443986,0.0764196821492733,0.06164977240914604,0.0033636513234449605,0.2890054039073959,-0.13067212533239503,-0.07190379101653743,0.5204081632653061,0.7193877551020408,0.6000000000000001
75,2026-09-11,VRTX,515.4400024414062,-0.019572743441736096,0.15818801129062598,0.07803316499189017,0.11967742037931672,0.2744016805615614,-0.11116150729710006,-0.0762062116581782,0.5051020408163265,0.7397959183673469,0.5989795918367347
76,2026-09-11,ARM,264.7900085449219,-0.026041809318508413,-0.22628057141517,1.3001216315796484,1.2242177251883293,0.9596263979685512,-0.48825830846393026,-0.3974650396087561,0.9642857142857143,0.05102040816326531,0.5989795918367347
77,2026-09-11,CI,280.760009765625,0.017695397046320283,-0.04246745150120157,0.06798211908444585,-0.046105252893970716,0.2760451411191131,-0.11165843861401081,-0.07677412479159551,0.5102040816326531,0.7295918367346939,0.5979591836734695
78,2026-09-11,ALAB,291.2200012207031,-0.08651188089184081,-0.20749993127793886,1.4288573604216923,1.246050961656176,1.0266716873159198,-0.48296134492666887,-0.39708499059143465,0.9693877551020408,0.030612244897959183,0.5938775510204082
79,2026-09-11,WDAY,185.6999969482422,0.059387324210325554,0.4226614470611312,0.3843745176173947,0.4282254762341331,0.6410161416068925,-0.2810532087566022,-0.250272537777654,0.8571428571428571,0.19387755102040816,0.5918367346938775
